npi	nppes_provider_gender	specialty_description	medicare_prvdr_enroll_status	total_claim_count	total_30_day_fill_count	total_drug_cost	total_day_supply	bene_count	ge65_suppress_flag	total_claim_count_ge65	total_30_day_fill_count_ge65	total_drug_cost_ge65	total_day_supply_ge65	bene_count_ge65_suppress_flag	bene_count_ge65	brand_suppress_flag	brand_claim_count	brand_drug_cost	generic_suppress_flag	generic_claim_count	generic_drug_cost	other_suppress_flag	other_claim_count	other_drug_cost	mapd_suppress_flag	mapd_claim_count	mapd_drug_cost	pdp_suppress_flag	pdp_claim_count	pdp_drug_cost	lis_suppress_flag	lis_claim_count	lis_drug_cost	nonlis_suppress_flag	nonlis_claim_count	nonlis_drug_cost	opioid_claim_count	opioid_drug_cost	opioid_day_supply	opioid_bene_count	opioid_prescriber_rate	la_opioid_claim_count	la_opioid_drug_cost	la_opioid_day_supply	la_opioid_bene_count	la_opioid_prescriber_rate	antibiotic_claim_count	antibiotic_drug_cost	antibiotic_bene_count	antipsych_ge65_suppress_flag	antipsych_claim_count_ge65	antipsych_drug_cost_ge65	antipsych_bene_ge65_suppress_flg	antipsych_bene_count_ge65	average_age_of_beneficiaries	beneficiary_female_count	beneficiary_male_count	beneficiary_nondual_count	beneficiary_dual_count	beneficiary_average_risk_score	EXCLYear	REINYear	excl_type	exclusion_flag	country	state	nppes_credentials	total_30_day_per_claim	drug_cost_per_claim	day_supply_per_claim	female_count	male_count	nondual_count	dual_count
1770515488	M	Physical Medicine	E	629.0	654.0	44696.9	15538.0	204.0	not_suppressed	481.0	505.63333333	32611.92	12314.0	not_suppressed	163.0	not_suppressed	80.0	29129.26	not_suppressed	549.0	15567.64	not_suppressed	0.0	0.0	not_suppressed	198.0	13754.9	not_suppressed	431.0	30942.0	not_suppressed	409.0	30224.07	not_suppressed	220.0	14472.83	54.0	588.79	459.0	34.0	8.59	5.0	0.0	0.0	5.0	0.0	22.0	287.62	16.0	not suppressed	0.0	0.0	not suppressed	0.0	71.0	122.0	82.0	89.0	115.0	1.4215				0	US	NY	Optometrist	1.039745627980922	71.06025437201907	24.7027027027027	not suppressed	not suppressed	not suppressed	not suppressed
1174060784	F	Nurse	E	673.0	727.0	25846.34	19758.0	65.0	not_suppressed	526.0	572.93333333	18600.77	15504.0	not_suppressed	51.0	not_suppressed	96.0	19738.58	not_suppressed	554.0	5521.89	not_suppressed	23.0	585.87	not_suppressed	525.0	18499.15	not_suppressed	148.0	7347.19	not_suppressed	523.0	23179.76	not_suppressed	150.0	2666.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	73.07	5.0	suppressed	5.0	0.0	suppressed	5.0	69.0	38.0	27.0	19.0	46.0	1.1115				0	US	NY	Nurse	1.0802377414561664	38.404665676077265	29.358098068350667	not suppressed	not suppressed	not suppressed	not suppressed
1265525273	M	Optometry/Ophthalmology	E	9103.0	10068.9	334417.1	257126.0	1481.0	not_suppressed	7676.0	8530.9	281752.41	218655.0	not_suppressed	1244.0	not_suppressed	2885.0	257013.31	not_suppressed	6218.0	77403.79	not_suppressed	0.0	0.0	not_suppressed	9026.0	331514.46	not_suppressed	77.0	2902.64	not_suppressed	413.0	13602.53	not_suppressed	8690.0	320814.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	386.73	5.0	not suppressed	0.0	0.0	not suppressed	0.0	72.0	847.0	634.0	1432.0	49.0	1.6575				0	US	AT	Medical Doctor	1.1061078765242227	36.737020762386024	28.24629243106668	not suppressed	not suppressed	not suppressed	not suppressed
1306821152	M	Cardiologist	E	1359.0	3290.3	89341.59	98467.0	288.0	not_suppressed	1199.0	2992.8	86546.03	89588.0	not_suppressed	261.0	not_suppressed	234.0	60359.51	not_suppressed	1125.0	28982.08	not_suppressed	0.0	0.0	not_suppressed	411.0	21814.47	not_suppressed	948.0	67527.12	not_suppressed	130.0	3238.77	not_suppressed	1229.0	86102.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	not suppressed	0.0	0.0	not suppressed	0.0	74.0	149.0	139.0	257.0	31.0	1.5218				0	US	NY	Medical Doctor	2.4211184694628405	65.74068432671082	72.45548197203826	not suppressed	not suppressed	not suppressed	not suppressed
1134244007	F	Internal Medicine	E	53.0	53.2	3391.01	579.0	25.0	counter suppressed	48.0	306.0	13928.695	6920.0	counter suppressed	20.0	not_suppressed	12.0	2772.41	not_suppressed	41.0	618.6	not_suppressed	0.0	0.0	not_suppressed	18.0	2431.35	not_suppressed	35.0	959.66	not_suppressed	18.0	1376.33	not_suppressed	35.0	2014.68	5.0	112.88	97.0	5.0	2.27	0.0	0.0	0.0	0.0	0.0	11.0	80.37	5.0	not suppressed	0.0	0.0	not suppressed	0.0	71.0	73.0	47.0	89.0	40.0	1.984				0	US	FL	Medical Doctor	1.0037735849056604	63.98132075471698	10.924528301886792	suppressed	suppressed	suppressed	suppressed
1386952299	M	Student	E	42.0	42.1	1560.65	1126.0	5.0	not_suppressed	0.0	0.0	0.0	0.0	counter suppressed	0.0	suppressed	5.0	17122.3	counter suppressed	37.0	8144.09	not_suppressed	0.0	0.0	not_suppressed	26.0	1306.62	not_suppressed	16.0	254.03	not_suppressed	42.0	1560.65	not_suppressed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	not suppressed	0.0	0.0	not suppressed	0.0	71.0	73.0	47.0	89.0	40.0	1.3465				0	US	MA	unknown	1.0023809523809524	37.15833333333334	26.80952380952381	suppressed	suppressed	suppressed	suppressed
1396739082	M	Optometry/Ophthalmology	E	136.0	170.1	16581.69	4284.0	37.0	not_suppressed	120.0	149.13333333	14221.17	3715.0	counter suppressed	32.0	not_suppressed	73.0	15539.4	not_suppressed	63.0	1042.29	not_suppressed	0.0	0.0	suppressed	5.0	5038.525	counter suppressed	131.0	11189.15	not_suppressed	37.0	7027.8	not_suppressed	99.0	9553.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	386.73	5.0	not suppressed	0.0	0.0	not suppressed	0.0	72.0	26.0	11.0	25.0	12.0	1.2172				0	US	IA	Optometrist	1.250735294117647	121.92419117647057	31.5	not suppressed	not suppressed	not suppressed	not suppressed
1558355438	M	Internal Medicine	E	17662.0	23457.2	750401.54	644674.0	635.0	not_suppressed	14056.0	18809.8	561119.84	512505.0	not_suppressed	467.0	not_suppressed	2350.0	470906.74	not_suppressed	15117.0	271392.68	not_suppressed	195.0	8102.12	not_suppressed	10882.0	431825.8	not_suppressed	6780.0	318575.74	not_suppressed	9835.0	485163.12	not_suppressed	7827.0	265238.42	852.0	15486.85	20561.0	151.0	4.82	12.0	3229.59	360.0	5.0	1.41	384.0	10653.07	211.0	not suppressed	83.0	7873.69	not suppressed	17.0	69.0	373.0	262.0	386.0	249.0	1.4973				0	US	KY	Medical Doctor	1.328116861057638	42.486781791416604	36.50062280602423	not suppressed	not suppressed	not suppressed	not suppressed
1588875850	M	Dentist	N	54.0	54.0	145.42	279.0	38.0	not_suppressed	54.0	54.0	145.42	279.0	not_suppressed	38.0	not_suppressed	0.0	0.0	not_suppressed	54.0	145.42	not_suppressed	0.0	0.0	not_suppressed	28.0	48.28	not_suppressed	26.0	97.14	not_suppressed	0.0	0.0	not_suppressed	54.0	145.42	5.0	112.88	97.0	5.0	2.27	0.0	0.0	0.0	0.0	0.0	44.0	121.89	36.0	not suppressed	0.0	0.0	not suppressed	0.0	73.0	18.0	20.0	38.0	0.0	1.0664				0	US	GA	Dentist/DDS	1.0	2.692962962962963	5.166666666666667	not suppressed	not suppressed	not suppressed	not suppressed
1811296197	F	Physician Assistant	E	201.0	268.5	10344.08	6480.0	83.0	not_suppressed	185.0	248.5	10252.15	5952.0	counter suppressed	78.0	not_suppressed	23.0	7945.92	not_suppressed	178.0	2398.16	not_suppressed	0.0	0.0	not_suppressed	136.0	8225.37	not_suppressed	65.0	2118.71	not_suppressed	114.0	8028.92	not_suppressed	87.0	2315.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	72.6	5.0	not suppressed	0.0	0.0	not suppressed	0.0	76.0	42.0	41.0	41.0	42.0	2.39				0	US	FL	Physican Assistant	1.335820895522388	51.46308457711443	32.23880597014925	not suppressed	not suppressed	not suppressed	not suppressed
1962839076	M	Optometry/Ophthalmology	E	19.0	19.5	1554.85	471.0	5.0	counter suppressed	14.0	306.0	13928.695	6920.0	counter suppressed	0.0	suppressed	5.0	17122.3	suppressed	5.0	8144.09	not_suppressed	0.0	0.0	suppressed	5.0	5038.525	counter suppressed	14.0	11189.15	suppressed	5.0	7822.22	counter suppressed	14.0	8329.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	386.73	5.0	not suppressed	0.0	0.0	not suppressed	0.0	71.0	73.0	47.0	89.0	40.0	1.3465				0	US	VA	Optometrist	1.0263157894736843	81.83421052631579	24.789473684210527	suppressed	suppressed	suppressed	suppressed
1922217769	F	Dentist	O	34.0	34.0	176.06	201.0	19.0	counter suppressed	29.0	306.0	13928.695	6920.0	counter suppressed	14.0	not_suppressed	0.0	0.0	not_suppressed	34.0	176.06	not_suppressed	0.0	0.0	not_suppressed	11.0	66.12	not_suppressed	23.0	109.94	suppressed	5.0	7822.22	counter suppressed	29.0	8329.63	5.0	112.88	97.0	5.0	2.27	0.0	0.0	0.0	0.0	0.0	24.0	126.42	19.0	not suppressed	0.0	0.0	not suppressed	0.0	70.0	73.0	47.0	19.0	0.0	0.7863				0	US	WI	Dentist/DDS	1.0	5.1782352941176475	5.911764705882353	suppressed	suppressed	not suppressed	not suppressed
1245202050	F	Psychiatry/Psychology & Neurology	E	3446.0	4574.1	614947.47	130297.0	428.0	not_suppressed	1719.0	2512.6333333	279290.73	73951.0	not_suppressed	291.0	not_suppressed	438.0	509579.46	not_suppressed	2962.0	103768.82	not_suppressed	46.0	1599.19	not_suppressed	494.0	165253.04	not_suppressed	2952.0	449694.43	not_suppressed	1653.0	380690.25	not_suppressed	1793.0	234257.22	81.0	1808.46	2150.0	24.0	2.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	not suppressed	30.0	15512.17	not suppressed	13.0	67.0	249.0	179.0	290.0	138.0	1.5333				0	US	OH	DO	1.3273650609402206	178.4525449796866	37.81108531630876	not suppressed	not suppressed	not suppressed	not suppressed
1245363803	F	Psychiatry/Psychology & Neurology	E	744.0	815.0	42305.4	23876.0	72.0	not_suppressed	143.0	175.0	10227.66	5195.0	not_suppressed	16.0	not_suppressed	43.0	19593.32	not_suppressed	701.0	22712.08	not_suppressed	0.0	0.0	not_suppressed	292.0	12401.64	not_suppressed	452.0	29903.76	not_suppressed	489.0	38153.38	not_suppressed	255.0	4152.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	not suppressed	28.0	6990.0	suppressed	5.0	51.0	53.0	19.0	24.0	48.0	1.4795				0	US	TX	Medical Doctor	1.0954301075268817	56.86209677419355	32.09139784946237	not suppressed	not suppressed	not suppressed	not suppressed
1417016130	M	Physical Medicine	E	130.0	130.2	5913.01	2647.0	60.0	not_suppressed	114.0	114.0	5299.32	2291.0	counter suppressed	55.0	not_suppressed	17.0	1131.59	not_suppressed	113.0	4781.42	not_suppressed	0.0	0.0	not_suppressed	130.0	5913.01	not_suppressed	0.0	0.0	not_suppressed	14.0	576.23	not_suppressed	116.0	5336.78	5.0	112.88	97.0	5.0	2.27	0.0	0.0	0.0	0.0	0.0	30.0	535.97	17.0	not suppressed	0.0	0.0	not suppressed	0.0	76.0	34.0	26.0	89.0	40.0	1.729				0	US	CA	Optometrist	1.0015384615384615	45.484692307692306	20.361538461538462	not suppressed	not suppressed	suppressed	suppressed
1669591160	M	Dentist	N	42.0	42.0	237.76	324.0	18.0	not_suppressed	42.0	42.0	237.76	324.0	not_suppressed	18.0	not_suppressed	0.0	0.0	not_suppressed	42.0	237.76	not_suppressed	0.0	0.0	not_suppressed	14.0	50.53	not_suppressed	28.0	187.23	not_suppressed	12.0	49.89	not_suppressed	30.0	187.87	13.0	43.4	65.0	5.0	30.95	0.0	0.0	0.0	0.0	0.0	29.0	194.36	17.0	not suppressed	0.0	0.0	not suppressed	0.0	73.0	73.0	47.0	89.0	40.0	0.8992				0	US	GA	Dentist/DDS	1.0	5.660952380952381	7.714285714285714	suppressed	suppressed	suppressed	suppressed
1174728430	M	Internal Medicine	E	4695.0	10084.1	313293.22	296805.0	367.0	not_suppressed	3682.0	8342.6333333	212301.2	246203.0	not_suppressed	314.0	not_suppressed	493.0	203432.39	not_suppressed	4156.0	108182.2	not_suppressed	46.0	1678.63	not_suppressed	1994.0	135166.84	not_suppressed	2701.0	178126.38	not_suppressed	1830.0	157374.83	not_suppressed	2865.0	155918.39	147.0	5467.62	4073.0	32.0	3.13	11.0	305.54	315.0	5.0	7.48	50.0	1307.88	37.0	suppressed	5.0	0.0	suppressed	5.0	72.0	201.0	166.0	268.0	99.0	1.2276				0	US	IL	Medical Doctor	2.1478381256656016	66.72912034078807	63.21725239616613	not suppressed	not suppressed	not suppressed	not suppressed
1730137910	M	Internal Medicine	E	14923.0	23409.7	736932.73	596918.0	716.0	not_suppressed	14248.0	22222.833333	669542.14	563174.0	not_suppressed	690.0	not_suppressed	3006.0	472291.18	not_suppressed	11851.0	261231.7	not_suppressed	66.0	3409.85	not_suppressed	1888.0	93760.99	not_suppressed	13035.0	643171.74	not_suppressed	5271.0	246799.13	not_suppressed	9652.0	490133.6	700.0	16109.71	16667.0	127.0	4.69	51.0	2825.49	1079.0	12.0	7.29	576.0	11620.2	247.0	not suppressed	119.0	3630.39	suppressed	5.0	78.0	435.0	281.0	639.0	77.0	1.2432				0	US	FL	Medical Doctor	1.5686993231923876	49.38234470280774	39.999865978690615	not suppressed	not suppressed	not suppressed	not suppressed
1629216247	F	Nurse	E	1803.0	2060.1	136543.23	60156.0	94.0	not_suppressed	344.0	399.13333333	8385.46	11602.0	not_suppressed	22.0	not_suppressed	91.0	55096.75	not_suppressed	1712.0	81446.48	not_suppressed	0.0	0.0	not_suppressed	380.0	22706.97	not_suppressed	1423.0	113836.26	not_suppressed	1663.0	130824.6	not_suppressed	140.0	5718.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	386.73	5.0	not suppressed	88.0	3291.32	suppressed	5.0	52.0	33.0	61.0	12.0	82.0	1.132				0	US	MN	Nurse	1.1425956738768719	75.73113144758736	33.364392678868555	not suppressed	not suppressed	not suppressed	not suppressed
